x,y
680,8648.494704
161,2276.223519
321,4469.314024
175,2776.517896
1001,10214.14139
577,7232.675201
766,8976.655095
51,721.7564752
445,5612.239108
452,4939.735901
1021,11770.79777
734,7864.253118
671,7774.034252
176,3450.835976
648,7101.082184
337,4309.482427
774,9461.510773
112,1246.23631
327,4386.674398
48,1476.889203
909,10233.88382
184,2249.86188
1018,10890.38981
884,10600.19238
621,6507.101945
814,9265.322321
849,9896.898083
161,1683.921729
127,2238.087221
935,9969.555098
872,9174.11005
106,3055.446288
888,9106.67476
399,4344.764117
465,5240.993001
465,6297.264001
211,3032.9389
64,1897.266327
933,10782.39175
506,5174.294382
368,5408.275712
268,3739.677759
119,2414.79868
937,10154.01965
490,6206.374826
62,2583.081623
481,6101.120051
764,7888.793492
186,3884.021357
370,4297.876665
628,6479.355129
544,6994.454229
691,7410.853778
1003,10738.26337
973,10770.88098
728,8751.817138
987,10626.85079
397,5467.847089
674,8225.502738
291,3267.541822
206,3761.956457
850,9058.994969
1018,10618.78979
899,9228.299069
3,1591.878764
389,4615.553388
660,7937.381605
10,864.3063611
595,7139.159817
934,9467.129356
646,7841.830169
453,5446.243132
494,6166.360757
793,9809.855011
414,4284.43655
130,1376.703631
952,9993.820668
1019,10748.04695
257,4045.562061
500,6969.572827
221,4026.084557
595,7381.713671
355,4176.007049
188,3925.535547
285,3670.77724
260,3312.979701
819,9201.040451
523,6251.23284
517,7005.978556
813,8238.649964
913,9283.998119
331,3422.219561
777,8959.854979
582,6555.779522
644,6569.76175
703,7356.237655
338,4521.480618
672,8605.618881
1016,11113.52916
361,5034.758322
807,9665.008488
518,6354.27228
842,10325.90439
223,3129.922626
770,7885.328706
88,1607.971684
365,5149.684509
987,11134.90801
384,5836.364757
938,10503.54528
391,4322.856819
749,9233.486919
360,4407.935822
97,1633.129905
73,1879.857756
984,11469.59896
269,4002.374562
775,8171.257726
562,7219.839502
700,7161.05869
990,10804.21736
381,5674.602912
584,6060.196171
575,6260.920932
464,6507.256603
992,10774.61988
968,11642.52501
919,10810.07365
258,4175.443786
549,5764.601621
808,8932.847618
754,8570.509742
662,7356.383027
981,10076.19468
558,5678.297411
704,7702.747626
312,3594.750225
0,932.3555771
829,9700.015214
123,2793.608332
683,8234.682189
219,2815.068383
931,9929.935586
477,5110.739134
746,9173.505279
979,10823.91483
966,9845.898974
287,3054.768248
776,8373.149583
153,2342.714459
453,4936.649905
306,3363.873426
453,4970.716897
945,10150.46018
962,11074.438
402,5284.75651
